ANIO,CCDD,CCPP,CCDI,LATITUD,LONGITUD,P502B_1,P502B_2,P502B_3,P502B_4,P502B_5,P502B_6,P502B_7,P503B_1,P503B_2,P503B_3,P503B_4,P503B_5,P503B_6,P504B
2014,3,4,7,-14.1225101965,-73.2572746457,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,4,12,-14.2085018452,-73.359645998,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,4,16,-14.0314233908,-73.3324443183,0,0,0,1,0,0,,0,0,0,0,0,1,4
2014,3,5,1,-14.0025679598,-72.198879361,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,3,5,3,-13.8348512168,-72.3768647987,0,0,0,0,0,1,,0,0,0,0,0,1,6
2014,3,5,4,-14.1862604821,-72.1258697714,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,3,5,5,-14.0475550783,-72.1602634144,0,0,0,0,0,1,,0,0,0,0,0,1,6
2014,3,5,6,-14.2372157252,-72.398722854,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,6,1,-13.546017085,-73.7080966472,0,0,0,1,0,0,,1,1,0,0,0,0,4
2014,3,6,2,-13.5871050342,-73.6671571273,1,0,0,1,1,0,,1,1,0,0,0,0,4
2014,3,6,4,-13.3982004158,-73.6949492448,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,6,5,-13.5585128811,-73.4786508465,0,0,0,1,1,0,,1,1,0,0,0,0,4
2014,3,7,1,-14.2038284689,-72.858999021,0,0,0,0,0,1,,1,0,0,0,0,0,6
2014,3,7,2,-13.9230740353,-72.6220462235,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,3,7,11,-14.2523289701,-72.6334105201,1,1,0,1,1,0,,1,0,0,0,0,0,5
2014,3,7,13,-14.3003560006,-72.6724964038,0,0,0,1,0,0,,1,1,0,0,0,0,4
2014,4,1,5,-16.4750792318,-71.500181343,0,1,0,0,0,0,,1,0,0,0,0,0,5
2014,4,1,6,-16.4215716309,-71.4055849415,0,1,0,0,0,0,,1,0,0,0,0,0,2
2014,4,1,15,-16.5554155563,-71.4180226175,0,1,0,0,0,0,,1,0,0,0,0,0,2
2014,4,1,16,-16.4418407568,-71.440350846,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,4,1,19,-16.1981563159,-71.0979915285,0,0,0,0,0,1,,0,0,0,0,0,1,6
2014,4,1,22,-16.4514018719,-71.5297833612,0,1,0,0,0,0,,1,0,0,0,0,0,2
2014,4,1,23,-16.435691785,-71.5907252646,0,1,0,0,0,0,,0,0,0,0,0,1,2
2014,4,1,25,-16.570881304,-71.9112144533,0,1,0,1,0,0,,0,0,0,0,0,1,2
2014,4,2,5,-16.4823104654,-72.6785181595,0,1,0,1,0,0,,0,1,0,0,0,1,4
2014,4,2,8,-16.599146469,-72.6488490354,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,4,3,12,-15.7123235612,-73.6779226168,1,0,0,0,0,0,,1,0,0,0,0,0,5
